test_type,timestamp,latency_ms,payload_size,success
websocket,7572.142549486,1.4545,39,True
websocket,7572.163488451,2.0968,39,True
websocket,7572.18312351,1.3058,39,True
websocket,7572.203924076,1.3055,39,True
websocket,7572.224856361,1.4509,39,True
websocket,7572.245456994,1.2629,39,True
websocket,7572.26572293,1.3402,39,True
websocket,7572.286326841,1.5049,39,True
websocket,7572.306836284,1.2858,39,True
websocket,7572.327367575,1.3054,39,True
websocket,7572.348106822,1.3079,39,True
websocket,7572.368414398,1.2544,39,True
websocket,7572.388961929,1.2949,39,True
websocket,7572.41024315,1.7905,39,True
websocket,7572.430448566,1.4500,39,True
websocket,7572.451810535,2.0662,39,True
websocket,7572.47179852,1.7470,39,True
websocket,7572.491992115,1.1540,39,True
websocket,7574.031312992,4.2088,39,True
websocket,7574.049750674,1.7932,39,True
websocket,7574.070380924,1.6221,39,True
websocket,7574.090887486,1.3916,39,True
websocket,7574.111130932,1.3448,39,True
websocket,7574.131757182,1.3966,39,True
websocket,7574.152505249,1.3526,39,True
websocket,7574.173450649,1.6116,39,True
websocket,7574.19352293,1.2045,39,True
websocket,7574.21379421,1.2754,39,True
websocket,7574.234718601,1.3659,39,True
websocket,7574.255414633,1.3299,39,True
websocket,7574.276607254,1.7874,39,True
websocket,7574.297201305,1.5846,39,True
websocket,7574.317212601,1.2108,39,True
websocket,7574.337869947,1.1562,39,True
websocket,7574.359202671,1.8022,39,True
websocket,7574.379469359,1.3522,39,True
websocket,7574.400071882,1.5438,39,True
websocket,7574.420171149,1.3001,39,True
websocket,7574.440935328,1.3598,39,True
websocket,7574.461655741,1.3568,39,True
websocket,7574.495171083,14.1337,39,True
websocket,7574.50317179,1.5812,39,True
websocket,7574.523549817,1.6594,39,True
websocket,7574.54430784,1.4388,39,True
websocket,7574.564814468,1.5948,39,True
websocket,7574.585491106,1.2810,39,True
websocket,7574.605663419,1.2281,39,True
websocket,7574.626730196,1.5675,39,True
websocket,7574.647176271,1.3651,39,True
websocket,7574.667716557,1.2533,39,True
websocket,7574.688223477,1.2958,39,True
websocket,7574.708852599,1.2251,39,True
websocket,7574.72948403,1.1745,39,True
websocket,7574.75016257,1.1366,39,True
websocket,7574.770957313,1.1725,39,True
websocket,7574.791779007,1.2035,39,True
websocket,7574.812916559,1.6413,39,True
websocket,7574.83323262,1.2821,39,True
websocket,7574.854077962,1.3790,39,True
websocket,7574.874574654,1.2669,39,True
websocket,7574.895327273,1.2748,39,True
websocket,7574.915958173,1.1649,39,True
websocket,7574.936847489,1.3556,39,True
websocket,7574.957467084,1.2588,39,True
websocket,7574.978268514,1.3568,39,True
websocket,7574.998893835,1.3413,39,True
websocket,7575.019489066,1.2141,39,True
websocket,7575.040285493,1.2691,39,True
websocket,7575.061176301,1.4192,39,True
websocket,7575.081990545,1.5217,39,True
websocket,7575.102458502,1.2575,39,True
websocket,7575.122856748,1.1776,39,True
websocket,7575.143586967,1.1672,39,True
websocket,7575.164669258,1.5677,39,True
websocket,7575.185108888,1.2800,39,True
websocket,7575.20582002,1.2831,39,True
websocket,7575.22649978,1.2499,39,True
websocket,7575.247234683,1.2890,39,True
websocket,7575.267951646,1.2727,39,True
websocket,7575.28875397,1.4002,39,True
websocket,7575.309693721,1.5868,39,True
